company,title,date,fee_brand_1,total_fee_1,fee_brand_2,total_fee_2,fee_brand_3,total_fee_3,benefit_title_1,benefit_detail_1_1,benefit_detail_1_2,benefit_title_2,benefit_detail_2_1,benefit_detail_2_2,benefit_title_3,benefit_detail_3_1,benefit_detail_3_2,benefit_title_4,benefit_detail_4_1,benefit_detail_4_2,benefit_title_5,benefit_detail_5_1,benefit_detail_5_2,img,url
롯데카드,LOCA 태그그립 카드, 2022년 10월 11일,국내전용,"5,000원",,,,,구성품 및 사용방법,,,교통 결제방법,오프라인 교통 결제방법,,이용처 안내,LOCA 태그그립 카드 이용처 안내,,발급·유의사항,LOCA 태그그립 카드 발급·유의사항,,L.POINT,,,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP14083-A14083_nm1.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P14083-A14083
롯데카드,MY RENTAL+ 롯데카드, 2022년 07월 01일,Master,"18,000원",국내전용,"15,000원",,,할인,롯데렌탈 렌탈 상품 대여료 할인,,공통안내,실적기준,공통 유의사항,L.POINT,L.POINT 안내,,연회비,,,가족카드,가족카드 안내,,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP14114-A14114_nm1.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P14114-A14114
롯데카드,아이스크림홈런롯데카드, 2022년 10월 03일,Master,"20,000원",국내전용,"20,000원",,,할인,아이스크림홈런 학습료 자동납부시 월8천원~1만6천원 결제일 할인,,L.POINT,,,연회비,,,,,,,,,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP14269-A14269_nm1.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P14269-A14269
롯데카드,LOCA Mobility 반띵 카드, 2022년 11월 18일,Master,"17,000원",Amex,"17,000원",국내전용,"17,000원",혜택 안내,대중교통 & 생활 반띵 할인 (50% 결제일 할인),로카모빌리티카드 무료 제공,공통 안내,실적기준,결제일 할인 이용 기준,L.POINT,,,,,,,,,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP14285-A14285_nm1_v.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P14285-A14285
롯데카드,LOCA in MEGACITY,2022년 03월 18일,국내전용,"20,000원",해외겸용,"20,000원",,,부산·울산·경남 지역 특화 할인,,,테마파크,"롯데월드 부산, 스카이라인루지 부산 10% 할인",,오프라인 쇼핑,"롯데백화점, 롯데마트, 메가마트,탑마트, 농협 하나로마트 5% 할인",,온라인 쇼핑,"롯데ON, 쿠팡, SSG 닷컴, 마켓컬리 5% 할인",,,,,https://image.lottecard.co.kr/webapp/mobile/images/card/loca/img_card_megacity.png,https://www.lottecard.co.kr/app/LPCDXAA_V001.lc?vtCdKndC=P14034-A14034&deviceType=WEB&newPrdCd=N&url=https%3A%2F%2Fwww.lottecard.co.kr%2Fapp%2FLPCDADB_V100.lc&sUrl=https%3A%2F%2Fm.lottecard.co.kr&cardPath=%2FUploadFiles%2FecenterPath%2FcdInfo%2F&bnnPath=%2FUploadFiles%2FecenterPath%2FbnnInfo%2F
롯데카드,LOCA for Shopping,2020년 07월 10일,국내전용,"20,000원","해외겸용(MASTER)
												","20,000원",,,온·오프라인 쇼핑 10% 풍성한 할인,,,마트,"이마트, 홈플러스,롯데마트10% 할인
								",,온라인쇼핑,"쿠팡, 위메프, 티몬,G마켓,
									옥션, 11번가10% 할인
								",,홈쇼핑,"롯데, GS, NS, 현대,CJ, 홈앤쇼핑10% 할인
								",,,,,https://image.lottecard.co.kr/webapp/pc/images/card/loca/@card_loca_for_shopping.png,https://www.lottecard.co.kr/app/LPCDXAA_V001.lc?vtCdKndC=P13395-A13395&deviceType=WEB&newPrdCd=N&url=https%3A%2F%2Fwww.lottecard.co.kr%2Fapp%2FLPCDADB_V100.lc&sUrl=https%3A%2F%2Fm.lottecard.co.kr&cardPath=%2FUploadFiles%2FecenterPath%2FcdInfo%2F&bnnPath=%2FUploadFiles%2FecenterPath%2FbnnInfo%2F
롯데카드,LOCA CLASSIC,2020년 07월 10일,국내전용,"20,000원","해외겸용(MASTER)
													","20,000원",,,국내외 가맹점에서 최대 1% 할인,,,1.0%,"전월 150만원 이상이용 시
										1.0% 할인
									",,0.5%,"전월실적 없이0.5% 할인
									",,,,,,,,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP13379-A13379_nm1.png,https://www.lottecard.co.kr/app/LPCDXAA_V001.lc?vtCdKndC=P13379-A13379&deviceType=WEB&newPrdCd=N&url=https%3A%2F%2Fwww.lottecard.co.kr%2Fapp%2FLPCDADB_V100.lc&sUrl=https%3A%2F%2Fm.lottecard.co.kr&cardPath=%2FUploadFiles%2FecenterPath%2FcdInfo%2F&bnnPath=%2FUploadFiles%2FecenterPath%2FbnnInfo%2F
롯데카드,LOCA for Coffee, 2020년 7월 10일,국내전용,"20,000원","해외겸용(MASTER)
													","20,000원",,,"커피 50%, 스트리밍 20%, 다채로운 생활업종 할인",,,커피,"스타벅스, 폴바셋,투썸50%
										할인
									",,스트리밍,"넷플릭스, 유투브20% 할인
									",,교통,"버스, 지하철, 택시10% 할인
									",,,,,https://image.lottecard.co.kr/webapp/pc/images/card/loca/@card_loca_for_coffee.png,https://www.lottecard.co.kr/app/LPCDXAA_V001.lc?vtCdKndC=P13391-A13391&deviceType=WEB&newPrdCd=N&url=https%3A%2F%2Fwww.lottecard.co.kr%2Fapp%2FLPCDADB_V100.lc&sUrl=https%3A%2F%2Fm.lottecard.co.kr&cardPath=%2FUploadFiles%2FecenterPath%2FcdInfo%2F&bnnPath=%2FUploadFiles%2FecenterPath%2FbnnInfo%2F
롯데카드,LOCA for Auto, 2020년 07월 10일,국내전용,"20,000원","해외겸용(MASTER)
													","20,000원",,,주유부터 배달앱까지 쿨한 할인,,,주유,"4대 주유소리터당 100원 할인
									",,보험,"자동차 보험료1만원 할인
									",,,,,,,,https://image.lottecard.co.kr/webapp/pc/images/card/loca/@card_loca_for_auto.png,https://www.lottecard.co.kr/app/LPCDXAA_V001.lc?vtCdKndC=P13399-A13399&deviceType=WEB&newPrdCd=N&url=https%3A%2F%2Fwww.lottecard.co.kr%2Fapp%2FLPCDADB_V100.lc&sUrl=https%3A%2F%2Fm.lottecard.co.kr&cardPath=%2FUploadFiles%2FecenterPath%2FcdInfo%2F&bnnPath=%2FUploadFiles%2FecenterPath%2FbnnInfo%2F
롯데카드,LOCA for Edu, 2020년 07월 10일,국내전용,"20,000원","해외겸용(MASTER)
													","20,000원",,,"교육, 서점·문구 5~10% 똑똑한 할인",,,교육,"학원, 유치원, 학습지5% 할인
									",,서점·문구,"서점, 문구점10%
										할인
									",,,,,,,,https://image.lottecard.co.kr/webapp/pc/images/card/loca/@card_loca_for_edu.png,https://www.lottecard.co.kr/app/LPCDXAA_V001.lc?vtCdKndC=P13403-A13403&deviceType=WEB&newPrdCd=N&url=https%3A%2F%2Fwww.lottecard.co.kr%2Fapp%2FLPCDADB_V100.lc&sUrl=https%3A%2F%2Fm.lottecard.co.kr&cardPath=%2FUploadFiles%2FecenterPath%2FcdInfo%2F&bnnPath=%2FUploadFiles%2FecenterPath%2FbnnInfo%2F
롯데카드,LOCA for Health, 2020년 07월 10일,국내전용,"20,000원","해외겸용(MASTER)
													","20,000원",,,"병원, 쇼핑, 대중교통 5~10% 야무진 할인",,,병원,"병원, 약국, 동물병원10% 할인
									",,교통,"버스/지하철10% 할인
									",,,,,,,,https://image.lottecard.co.kr/webapp/pc/images/card/loca/@card_loca_for_health.png,https://www.lottecard.co.kr/app/LPCDXAA_V001.lc?vtCdKndC=P13407-A13407&deviceType=WEB&newPrdCd=N&url=https%3A%2F%2Fwww.lottecard.co.kr%2Fapp%2FLPCDADB_V100.lc&sUrl=https%3A%2F%2Fm.lottecard.co.kr&cardPath=%2FUploadFiles%2FecenterPath%2FcdInfo%2F&bnnPath=%2FUploadFiles%2FecenterPath%2FbnnInfo%2F
롯데카드,LOCA in BUSAN, 2021년 05월 11일,Master,"20,000원",국내전용,"20,000원",,,부산/경남에서 누리는 쇼핑·맛집·교통 할인,,,쇼핑,"아울렛, 마트, 이케아에서 10% 할인",,교통,통행료 30% 할인,,요식,"음식점, 카페에서 5% 할인",,,,,https://image.lottecard.co.kr/webapp/pc/images/card/loca/@card_loca_for_busan.png,https://www.lottecard.co.kr/app/LPCDXAA_V001.lc?vtCdKndC=P13719-A13719&deviceType=WEB&newPrdCd=N&url=https%3A%2F%2Fwww.lottecard.co.kr%2Fapp%2FLPCDADB_V100.lc&sUrl=https%3A%2F%2Fm.lottecard.co.kr&cardPath=%2FUploadFiles%2FecenterPath%2FcdInfo%2F&bnnPath=%2FUploadFiles%2FecenterPath%2FbnnInfo%2F
롯데카드,LOCA CLASSIC 롯데마트, 2023년 04월 07일,Master,"20,000원",국내전용,"20,000원",,,롯데마트 CLASSIC,,,국내외 가맹점에서 최대 1% 할인,전월 100만원 이상 이용 시 1.0% 할인 ,전월실적 없이 0.5% 할인,0.5%,전월실적 없이0.5% 할인,,,,,,,,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP14345-A14345_nm1_v.png,https://www.lottecard.co.kr/app/LPCDXAA_V001.lc?vtCdKndC=P14345-A14345&deviceType=WEB&newPrdCd=N&url=https%3A%2F%2Fwww.lottecard.co.kr%2Fapp%2FLPCDADB_V100.lc&sUrl=https%3A%2F%2Fm.lottecard.co.kr&cardPath=%2FUploadFiles%2FecenterPath%2FcdInfo%2F&bnnPath=%2FUploadFiles%2FecenterPath%2FbnnInfo%2F
롯데카드,LOCA for 롯데마트, 2023년 04월 07일,Master,"20,000원",국내전용,"20,000원",,,마트,"롯데마트, MAXX 최대 10% 할인",,마트,"롯데마트, MAXX최대 10% 할인",,,,,,,,,,,//image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP14349-A14349_nm1_v.png,https://www.lottecard.co.kr/app/LPCDXAA_V001.lc?vtCdKndC=P14349-A14349&deviceType=WEB&newPrdCd=N&url=https%3A%2F%2Fwww.lottecard.co.kr%2Fapp%2FLPCDADB_V100.lc&sUrl=https%3A%2F%2Fm.lottecard.co.kr&cardPath=%2FUploadFiles%2FecenterPath%2FcdInfo%2F&bnnPath=%2FUploadFiles%2FecenterPath%2FbnnInfo%2F
